prestito_id,codice_pratica,cliente_id,tipo_prestito,importo_erogato,importo_residuo,tasso_interesse,durata_mesi,rata_mensile,data_erogazione,data_scadenza,prossima_scadenza_rata,finalita,garanzie,stato_prestito,classificazione,giorni_ritardo,filiale_id,created_at,updated_at
1,PR202600000001,16885,Personale,27592.44,1082.06,4.61,51,596.77,2021-12-28,2026-03-07,2026-02-05,Matrimonio,,In corso,Performing,0,24,2026-01-26 23:14:21.271146,2026-01-26 23:14:21.271147
2,PR202600000002,34171,Mutuo,284224.86,190822.34,5.52,283,1798.79,2018-05-27,2041-08-24,2026-02-14,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,15,2026-01-26 23:14:21.279915,2026-01-26 23:14:21.279917
3,PR202600000003,43002,Aziendale,182969.11,0.0,7.74,24,8253.48,2022-03-20,2024-03-09,,Espansione,,Estinto,Performing,0,1,2026-01-26 23:14:21.285680,2026-01-26 23:14:21.285681
4,PR202600000004,37398,Personale,23240.49,7746.83,5.73,39,654.55,2023-11-11,2027-01-24,2026-01-29,Matrimonio,,In corso,Performing,0,24,2026-01-26 23:14:21.290761,2026-01-26 23:14:21.290763
5,PR202600000005,6817,Personale,20833.27,0.0,5.6,48,485.43,2015-02-23,2019-02-02,,Matrimonio,,Estinto,Performing,0,9,2026-01-26 23:14:21.296985,2026-01-26 23:14:21.296987
6,PR202600000006,14084,Mutuo,86622.23,78557.4,8.22,290,688.27,2023-10-20,2047-08-15,2026-02-06,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,9,2026-01-26 23:14:21.301595,2026-01-26 23:14:21.301595
7,PR202600000007,39938,Auto,29583.04,0.0,8.0,47,735.22,2020-06-05,2024-04-15,,Acquisto auto usata,Pegno auto,Estinto,Performing,0,30,2026-01-26 23:14:21.305034,2026-01-26 23:14:21.305036
8,PR202600000008,29322,Auto,11138.17,8663.02,5.0,63,201.4,2024-11-23,2030-01-26,2026-02-16,Acquisto auto nuova,Pegno auto,In corso,Performing,0,28,2026-01-26 23:14:21.310515,2026-01-26 23:14:21.310516
9,PR202600000009,10052,Personale,21925.58,10428.02,4.91,82,315.32,2022-06-21,2029-03-16,2026-01-31,Matrimonio,,In corso,Performing,0,16,2026-01-26 23:14:21.314759,2026-01-26 23:14:21.314760
10,PR202600000010,27749,Personale,7971.36,0.0,4.76,62,145.29,2019-05-11,2024-06-13,,Ristrutturazione casa,,Estinto,Performing,0,26,2026-01-26 23:14:21.317380,2026-01-26 23:14:21.317380
11,PR202600000011,37169,Personale,18759.13,0.0,8.85,84,300.39,2016-09-09,2023-08-04,,Liquidità,,Estinto,Performing,0,30,2026-01-26 23:14:21.319970,2026-01-26 23:14:21.319971
